R2_Club Atlético Puerto Varas_CD AB Temuco_20, Holgura:0.0
R2_Club Atlético Puerto Varas_CD AB Temuco_21, Holgura:0.0
R2_Club Atlético Puerto Varas_CD AB Temuco_22, Holgura:0.0
R2_Club Atlético Puerto Varas_CD AB Temuco_23, Holgura:0.0
R2_Club Atlético Puerto Varas_CD AB Temuco_24, Holgura:0.0
R2_Club Atlético Puerto Varas_CD AB Temuco_25, Holgura:0.0
R2_Club Atlético Puerto Varas_CD AB Temuco_26, Holgura:0.0
R2_Club Atlético Puerto Varas_CD AB Temuco_27, Holgura:0.0
R2_Club Atlético Puerto Varas_CD AB Temuco_28, Holgura:0.0
R2_Club Atlético Puerto Varas_CD AB Temuco_29, Holgura:0.0
R2_Club Atlético Puerto Varas_CD AB Temuco_30, Holgura:0.0
R2_Club Atlético Puerto Varas_CD La Unión_1, Holgura:0.0
R2_Club Atlético Puerto Varas_CD La Unión_2, Holgura:0.0
R2_Club Atlético Puerto Varas_CD La Unión_3, Holgura:0.0
R2_Club Atlético Puerto Varas_CD La Unión_4, Holgura:0.0
R2_Club Atlético Puerto Varas_CD La Unión_5, Holgura:0.0
R2_Club Atlético Puerto Varas_CD La Unión_6, Holgura:0.0
R2_Club Atlético Puerto Varas_CD La Unión_7, Holgura:0.0
R2_Club Atlético Puerto Varas_CD La Unión_8, Holgura:0.0
R2_Club Atlético Puerto Varas_CD La Unión_9, Holgura:0.0
R2_Club Atlético Puerto Varas_CD La Unión_10, Holgura:0.0
R2_Club Atlético Puerto Varas_CD La Unión_11, Holgura:0.0
R2_Club Atlético Puerto Varas_CD La Unión_12, Holgura:0.0
R2_Club Atlético Puerto Varas_CD La Unión_13, Holgura:0.0
R2_Club Atlético Puerto Varas_CD La Unión_14, Holgura:0.0
R2_Club Atlético Puerto Varas_CD La Unión_15, Holgura:0.0
R2_Club Atlético Puerto Varas_CD La Unión_16, Holgura:0.0
R2_Club Atlético Puerto Varas_CD La Unión_17, Holgura:0.0
R2_Club Atlético Puerto Varas_CD La Unión_18, Holgura:0.0
R2_Club Atlético Puerto Varas_CD La Unión_19, Holgura:0.0
R2_Club Atlético Puerto Varas_CD La Unión_20, Holgura:0.0
R2_Club Atlético Puerto Varas_CD La Unión_21, Holgura:0.0
R2_Club Atlético Puerto Varas_CD La Unión_22, Holgura:0.0
R2_Club Atlético Puerto Varas_CD La Unión_23, Holgura:0.0
R2_Club Atlético Puerto Varas_CD La Unión_24, Holgura:0.0
R2_Club Atlético Puerto Varas_CD La Unión_25, Holgura:0.0
R2_Club Atlético Puerto Varas_CD La Unión_26, Holgura:0.0
R2_Club Atlético Puerto Varas_CD La Unión_27, Holgura:0.0
R2_Club Atlético Puerto Varas_CD La Unión_28, Holgura:0.0
R2_Club Atlético Puerto Varas_CD La Unión_29, Holgura:0.0
R2_Club Atlético Puerto Varas_CD La Unión_30, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Achao_1, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Achao_2, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Achao_3, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Achao_4, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Achao_5, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Achao_6, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Achao_7, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Achao_8, Holgura:0.0
R2_Club Atlético Puerto Varas_CD Achao_9, Holgura:0.0
