R1_b_5, Holgura:1.0
R1_b_11, Holgura:1.0
R1_b_12, Holgura:1.0
R1_b_14, Holgura:1.0
R1_b_15, Holgura:1.0
R1_b_19, Holgura:1.0
R1_b_23, Holgura:1.0
R1_b_25, Holgura:1.0
R1_b_28, Holgura:1.0
R1_c_2, Holgura:1.0
R1_c_4, Holgura:1.0
R1_c_13, Holgura:1.0
R1_c_25, Holgura:1.0
R1_c_29, Holgura:1.0
R1_d_1, Holgura:1.0
R1_d_4, Holgura:1.0
R1_d_6, Holgura:1.0
R1_d_7, Holgura:1.0
R1_d_9, Holgura:1.0
R1_d_10, Holgura:1.0
R1_d_11, Holgura:1.0
R1_d_18, Holgura:1.0
R1_d_21, Holgura:1.0
R1_d_22, Holgura:1.0
R1_d_29, Holgura:1.0
R1_d_30, Holgura:1.0
R1_e_1, Holgura:1.0
R1_e_3, Holgura:1.0
R1_e_7, Holgura:1.0
R1_e_13, Holgura:1.0
R1_e_17, Holgura:1.0
R1_e_20, Holgura:1.0
R1_e_21, Holgura:1.0
R1_e_23, Holgura:1.0
R1_e_24, Holgura:1.0
R1_e_26, Holgura:1.0
R1_e_28, Holgura:1.0
R1_f_5, Holgura:1.0
R1_f_6, Holgura:1.0
R1_f_8, Holgura:1.0
R1_f_14, Holgura:1.0
R1_f_19, Holgura:1.0
R1_f_27, Holgura:1.0
R1_g_12, Holgura:1.0
R1_g_24, Holgura:1.0
R1_h_3, Holgura:1.0
R1_h_9, Holgura:1.0
R1_h_15, Holgura:1.0
R1_h_17, Holgura:1.0
R1_h_20, Holgura:1.0
R1_h_22, Holgura:1.0
R1_h_27, Holgura:1.0
R1_i_2, Holgura:1.0
R1_i_8, Holgura:1.0
R1_i_16, Holgura:1.0
R1_i_18, Holgura:1.0
R1_i_26, Holgura:1.0
R3_a_('Stadio Italiano', 'Club Andino de Los Ángeles', 27), Holgura:1.0
R3_a_('CD Liceo Curicó', 'Club Atlético Puerto Varas', 27), Holgura:1.0
R3_a_('Club Atlético Puerto Varas', 'CD Brisas', 26), Holgura:1.0
R3_a_('CD La Unión', 'CD Liceo Curicó', 26), Holgura:1.0
R3_a_('Estadio Palestino', 'Stadio Italiano', 26), Holgura:1.0
R3_a_('CD Achao', 'CD AB Temuco', 26), Holgura:1.0
R3_a_('CD Manquehue', 'CD Arturo Prat de San Felipe', 26), Holgura:1.0
R3_a_('CD Alemán de Concepción', 'CD Quilicura Basket', 26), Holgura:1.0
R3_a_('Stadio Italiano', 'CD Alemán de Concepción', 25), Holgura:1.0
R3_a_('CD Ceppi', 'CD La Unión', 25), Holgura:1.0
R3_a_('Estadio Palestino', 'CD Boston College', 25), Holgura:1.0
R3_a_('Estadio Español', 'CD Manquehue', 25), Holgura:1.0
R3_a_('CD AB Temuco', 'CD Liceo Curicó', 25), Holgura:1.0
R3_a_('CD Brisas', 'Club Andino de Los Ángeles', 25), Holgura:1.0
R3_a_('CD Liceo Curicó', 'CD Ceppi', 24), Holgura:1.0
R3_a_('CD Manquehue', 'Stadio Italiano', 24), Holgura:1.0
R3_a_('CD Alemán de Concepción', 'Estadio Palestino', 24), Holgura:1.0
R3_a_('Club Atlético Puerto Varas', 'CD AB Temuco', 24), Holgura:1.0
R3_a_('CD Achao', 'CD Arturo Prat de San Felipe', 24), Holgura:1.0
R3_a_('Club Andino de Los Ángeles', 'CD Quilicura Basket', 24), Holgura:1.0
R3_a_('CD AB Temuco', 'CD Ceppi', 23), Holgura:1.0
R3_a_('CD Quilicura Basket', 'CD La Unión', 23), Holgura:1.0
R3_a_('Stadio Italiano', 'CD Boston College', 23), Holgura:1.0
R3_a_('CD Alemán de Concepción', 'CD Manquehue', 23), Holgura:1.0
R3_a_('CD Arturo Prat de San Felipe', 'CD Liceo Curicó', 23), Holgura:1.0
R3_a_('Estadio Palestino', 'Club Andino de Los Ángeles', 23), Holgura:1.0
R3_a_('CD Boston College', 'CD Alemán de Concepción', 22), Holgura:1.0
R3_a_('CD Liceo Curicó', 'CD Brisas', 22), Holgura:1.0
R3_a_('Club Andino de Los Ángeles', 'Estadio Español', 22), Holgura:1.0
R3_a_('Club Atlético Puerto Varas', 'Estadio Palestino', 22), Holgura:1.0
R3_a_('CD Ceppi', 'CD Arturo Prat de San Felipe', 22), Holgura:1.0
R3_a_('CD Manquehue', 'CD Quilicura Basket', 22), Holgura:1.0
R3_a_('CD Quilicura Basket', 'CD Ceppi', 21), Holgura:1.0
R3_a_('Estadio Palestino', 'CD Manquehue', 21), Holgura:1.0
R3_a_('CD Boston College', 'CD Liceo Curicó', 21), Holgura:1.0
R3_a_('CD Alemán de Concepción', 'Club Andino de Los Ángeles', 21), Holgura:1.0
R3_a_('Stadio Italiano', 'Club Atlético Puerto Varas', 21), Holgura:1.0
R3_a_('CD AB Temuco', 'CD Arturo Prat de San Felipe', 21), Holgura:1.0
R3_a_('CD Manquehue', 'CD Boston College', 20), Holgura:1.0
R3_a_('CD Arturo Prat de San Felipe', 'Estadio Español', 20), Holgura:1.0
R3_a_('CD La Unión', 'Stadio Italiano', 20), Holgura:1.0
R3_a_('CD Liceo Curicó', 'Estadio Palestino', 20), Holgura:1.0
R3_a_('Club Andino de Los Ángeles', 'CD AB Temuco', 20), Holgura:1.0
R3_a_('Club Atlético Puerto Varas', 'CD Quilicura Basket', 20), Holgura:1.0
R3_a_('Stadio Italiano', 'CD Ceppi', 19), Holgura:1.0
R3_a_('Estadio Palestino', 'CD La Unión', 19), Holgura:1.0
R3_a_('Estadio Español', 'CD Liceo Curicó', 19), Holgura:1.0
R3_a_('CD Manquehue', 'Club Andino de Los Ángeles', 19), Holgura:1.0
R3_a_('CD Quilicura Basket', 'CD AB Temuco', 19), Holgura:1.0
R3_a_('CD Brisas', 'CD Arturo Prat de San Felipe', 19), Holgura:1.0
R3_a_('CD La Unión', 'CD Alemán de Concepción', 18), Holgura:1.0
R3_a_('CD AB Temuco', 'CD Brisas', 18), Holgura:1.0
R3_a_('Club Atlético Puerto Varas', 'CD Manquehue', 18), Holgura:1.0
R3_a_('CD Ceppi', 'Estadio Español', 18), Holgura:1.0
R3_a_('CD Arturo Prat de San Felipe', 'Stadio Italiano', 18), Holgura:1.0
R3_a_('CD Liceo Curicó', 'CD Quilicura Basket', 18), Holgura:1.0
R3_a_('CD Alemán de Concepción', 'CD Ceppi', 17), Holgura:1.0
R3_a_('CD Manquehue', 'CD La Unión', 17), Holgura:1.0
R3_a_('CD Quilicura Basket', 'CD Brisas', 17), Holgura:1.0
R3_a_('Stadio Italiano', 'CD Liceo Curicó', 17), Holgura:1.0
R3_a_('Estadio Español', 'CD AB Temuco', 17), Holgura:1.0
R3_a_('Estadio Palestino', 'CD Arturo Prat de San Felipe', 17), Holgura:1.0
R3_a_('CD Liceo Curicó', 'CD Alemán de Concepción', 16), Holgura:1.0
R3_a_('CD Brisas', 'Estadio Español', 16), Holgura:1.0
R3_a_('CD AB Temuco', 'Stadio Italiano', 16), Holgura:1.0
R3_a_('CD Ceppi', 'Estadio Palestino', 16), Holgura:1.0
R3_a_('Club Atlético Puerto Varas', 'Club Andino de Los Ángeles', 16), Holgura:1.0
R3_a_('CD Arturo Prat de San Felipe', 'CD Quilicura Basket', 16), Holgura:1.0
R3_b_('Club Andino de Los Ángeles', 'Club Atlético Puerto Varas', 1), Holgura:1.0
R3_b_('Stadio Italiano', 'CD AB Temuco', 1), Holgura:1.0
R3_b_('Estadio Español', 'CD Brisas', 1), Holgura:1.0
R3_b_('CD Manquehue', 'CD Achao', 1), Holgura:1.0
R3_b_('CD Boston College', 'CD La Unión', 1), Holgura:1.0
R3_b_('CD Alemán de Concepción', 'CD Liceo Curicó', 1), Holgura:1.0
R3_b_('Club Atlético Puerto Varas', 'CD Boston College', 2), Holgura:1.0
R3_b_('CD AB Temuco', 'Estadio Español', 2), Holgura:1.0
R3_b_('CD Brisas', 'CD Quilicura Basket', 2), Holgura:1.0
R3_b_('CD La Unión', 'CD Manquehue', 2), Holgura:1.0
R3_b_('CD Ceppi', 'CD Alemán de Concepción', 2), Holgura:1.0
R3_b_('CD Achao', 'Club Andino de Los Ángeles', 2), Holgura:1.0
R3_b_('CD Quilicura Basket', 'CD Liceo Curicó', 3), Holgura:1.0
R3_b_('Estadio Palestino', 'CD Achao', 3), Holgura:1.0
R3_b_('Estadio Español', 'CD Ceppi', 3), Holgura:1.0
R3_b_('CD Boston College', 'Club Andino de Los Ángeles', 3), Holgura:1.0
R3_b_('CD Brisas', 'CD AB Temuco', 3), Holgura:1.0
R3_b_('CD Alemán de Concepción', 'CD La Unión', 3), Holgura:1.0
R3_b_('CD Arturo Prat de San Felipe', 'CD Brisas', 4), Holgura:1.0
R3_b_('Club Atlético Puerto Varas', 'CD Alemán de Concepción', 4), Holgura:1.0
R3_b_('CD AB Temuco', 'CD Quilicura Basket', 4), Holgura:1.0
